brand_name,model_name,condition_name,grade_name,gb_spec_name,colour_name,network_name
Acer,LIQUID E600,Working,Grade C - Acceptable Condition,Not Applicable,Black,Unlocked
Acer,LIQUID E600,Non-working - Need Repair - Software,Insurance Grade,Not Applicable,Black,Unlocked
Acer,LIQUID E600,Brand New,Insurance Grade,Not Applicable,Silver,Unlocked
Acer,LIQUID EXPRESS E320,Non-working - Need Battery,Grade B - Good Condition,Not Applicable,Grey,Unlocked
Acer,LIQUID EXPRESS E320,Non-working - Need Battery,Grade B - Good Condition,Not Applicable,Grey,Unlocked
Acer,LIQUID EXPRESS E320,Non-working - Need Battery,Grade C - Acceptable Condition,Not Applicable,Grey,Unlocked
Acer,LIQUID EXPRESS E320,Non-working - Need Battery,Grade A - Very Good Condition,Not Applicable,Grey,Unlocked
Acer,LIQUID EXPRESS E320,Non-working - Need Battery,Grade B - Good Condition,Not Applicable,Grey,Unlocked
Acer,LIQUID GLOW E330,Non-working - Need Battery,Grade C - Acceptable Condition,Not Applicable,Black,Unlocked
Acer,LIQUID GLOW E330,Working,Grade A - Very Good Condition,Not Applicable,Black,Unlocked
Acer,LIQUID GLOW E330,Working,Grade A - Very Good Condition,Not Applicable,Black,Unlocked
Acer,LIQUID GLOW E330,Working,Grade A - Very Good Condition,Not Applicable,Black,Unlocked
Acer,LIQUID GLOW E330,Working,Grade A - Very Good Condition,Not Applicable,Black,Unlocked
Acer,LIQUID JADE S55,Brand New,Insurance Grade,8GB,White,Unlocked
Acer,LIQUID JADE S55,Brand New,Insurance Grade,8GB,Black,Unlocked
Acer,LIQUID JADE S55,Brand New,Insurance Grade,8GB,Black,Unlocked
Acer,LIQUID JADE S55,Working,Grade A - Very Good Condition,8GB,White,Unlocked
Acer,LIQUID JADE Z,Brand New,Insurance Grade,8GB,Black,Unlocked
Acer,LIQUID JADE Z,Brand New,Insurance Grade,8GB,Black,Unlocked
Acer,LIQUID S1,Non-working - Need Battery,Not Graded,8GB,Black,EE Network
Acer,LIQUID S1,Non-working - Need Battery,Not Graded,8GB,Black,EE Network
Acer,LIQUID Z110,Non-working - Need Battery,Grade A - Very Good Condition,Not Applicable,Black,Unlocked
Acer,LIQUID Z110,Working,Grade A - Very Good Condition,Not Applicable,Black,Unlocked
Acer,LIQUID Z110,Working,Grade B B2B,Not Applicable,Black,Unlocked
Acer,LIQUID Z110,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Acer,LIQUID Z110,Working,Grade A - Very Good Condition,Not Applicable,Black,Unlocked
Acer,LIQUID Z110,Non-working - Need Battery,Grade A - Very Good Condition,Not Applicable,Black,Unlocked
Acer,LIQUID Z110,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Acer,LIQUID Z110,Working,Grade A - Very Good Condition,Not Applicable,Black,Unlocked
Acer,LIQUID Z110,Non-working - Need Repair - Software,Grade C - Acceptable Condition,Not Applicable,White,Unlocked
Acer,LIQUID Z110,Working,Grade A - Very Good Condition,Not Applicable,White,Unlocked
Acer,LIQUID Z110,Non-working - Need Battery,Grade B - Good Condition,Not Applicable,Black,Unlocked
Acer,LIQUID Z110,Non-working - Need Battery,Grade B - Good Condition,Not Applicable,Black,Unlocked
Acer,LIQUID Z110,Working,Grade A - Very Good Condition,Not Applicable,Black,Unlocked
Acer,LIQUID Z110,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Acer,LIQUID Z110,Non-working - Need Battery,Grade B - Good Condition,Not Applicable,Black,Unlocked
Acer,LIQUID Z110,Non-working - Need Battery,Grade B - Good Condition,Not Applicable,Black,Unlocked
Acer,LIQUID Z110,Non-working - Need Battery,Grade A - Very Good Condition,Not Applicable,Black,Unlocked
Acer,LIQUID Z110,Non-working - Need Battery,Grade B - Good Condition,Not Applicable,Black,Unlocked
Acer,LIQUID Z110,Brand New,Insurance Grade,Not Applicable,Black,Unlocked
Acer,LIQUID Z110,Brand New,Insurance Grade,Not Applicable,White,Unlocked
Acer,LIQUID Z110,Working,Grade B B2B,Not Applicable,Black,Unlocked
Acer,LIQUID Z110,Non-working - Need Battery,Grade B - Good Condition,Not Applicable,Black,Unlocked
Acer,LIQUID Z110,Working,Grade A - Very Good Condition,Not Applicable,Black,Unlocked
Acer,LIQUID Z110,Working,Grade B - Good Condition,Not Applicable,Black,Unlocked
Acer,liquid z2,Working,Grade B - Good Condition,2GB,Black,Unlocked
Acer,liquid z2,Working,Grade A - Very Good Condition,2GB,Black,Unlocked
Acer,liquid z2,Working,Grade A - Very Good Condition,2GB,White,Unlocked
Acer,liquid z2,Working,Grade B - Good Condition,2GB,Black,Unlocked
Acer,liquid z2,Working,Grade A - Very Good Condition,2GB,Black,Unlocked
Acer,liquid z2,Working,Grade B - Good Condition,2GB,Black,Unlocked
Acer,liquid z2,Working,Grade A - Very Good Condition,2GB,Black,Unlocked
Acer,liquid z2,Working,Grade A - Very Good Condition,2GB,Black,Unlocked
Acer,liquid z2,Working,Grade C - Acceptable Condition,2GB,Black,Unlocked
Acer,LIQUID Z200,Non-working - Need Battery,Not Graded,4GB,Black,EE Network
Acer,LIQUID Z220,Working,Grade A - Very Good Condition,8GB,Black,Unlocked
Acer,LIQUID Z220,Working,Grade C - Acceptable Condition,8GB,Black,Unlocked
Acer,LIQUID Z220,Non-working - Need Battery,Not Graded,8GB,Black,EE Network
Acer,LIQUID Z220,Non-working - Need Battery,Not Graded,8GB,White,EE Network
Acer,LIQUID Z220,Non-working - Need Battery,Not Graded,8GB,White,EE Network
Acer,liquid z4,Working,Grade A - Very Good Condition,4GB,Black,Unlocked
Acer,liquid z4,Working,Grade A - Very Good Condition,4GB,Black,Unlocked
Acer,liquid z4,Brand New,Insurance Grade,4GB,Black,Unlocked
Acer,liquid z4,Brand New,Insurance Grade,4GB,Black,Unlocked
Acer,liquid z4,Working,Grade B - Good Condition,4GB,Black,Unlocked
Acer,liquid z4,Working,Grade A - Very Good Condition,4GB,Black,Unlocked
Acer,liquid z4,Working,Not Graded,4GB,Black,Unlocked
Acer,liquid z4,Non-working - Need Battery,Grade A - Very Good Condition,4GB,White,Unlocked
Acer,liquid z4,Non-working - Need Battery,Grade B - Good Condition,4GB,White,Damaged
Acer,liquid z4,Non-working - Need Battery,Grade A - Very Good Condition,4GB,Black,Unlocked
Acer,liquid z4,Non-working,Unknown,4GB,Pink,Damaged
Acer,liquid z4,Non-working - Need Battery,Grade A - Very Good Condition,4GB,Pink,Unlocked
